Period,March 7, 2024 - October 9, 2024,
,
Time,Addiscombe Rd,Auburn Rd & Mary St,Auburn Rd eastern footpath,Belmore Rd,Bourke Street & Lachlan Street,Coles St,Collins Street,Concord Rd East footpath,Concord Rd West footpath,Correys Ave,Doncaster Ave North of Todman Ave,Evaline St North side,Evaline St South side,Houston Rd and Day Ave,Kenneth Rd,Oliver St & Brighton St (East),Oliver St & Brighton St (West),Oliver Street (east footpath),Oliver Street (west footpath),Parramatta Rd footpath,Perouse Rd footpath,Rainbow street,St Pauls Street footpath,
2024-07-11 00:00:00,,,,,,,,,,,,,,,,,,352,362,,,,,
2024-07-12 00:00:00,,,,,,,,,,,,,,,,,,360,364,,,,,
2024-07-13 00:00:00,,,,,,,,,,,,,,,,,,607,449,,,,,
2024-07-14 00:00:00,,,,,,,,,,,,,,,,,,381,387,,,,,
2024-07-15 00:00:00,,,,,,,,,,,,,,,,115,113,120,113,,,,,
2024-07-16 00:00:00,,,,,,,,,,,,,,,,176,193,,,,,,,
2024-07-17 00:00:00,,,,,,,,,,,,,,,,209,238,,,,,,,
2024-07-18 00:00:00,,,,,,,,,,,,,,,,240,239,,,,,,,
2024-07-19 00:00:00,,,,,,,,,,,,,,,,249,223,,,,,,,
2024-07-20 00:00:00,,,,,,,,,,,,,,,,218,260,,,,,,,
2024-07-21 00:00:00,,,,,,,,,,,,,,,,280,267,,,,,,,
2024-07-22 00:00:00,,,,,,,,,,,,,,,,233,290,,,,,,,
2024-07-23 00:00:00,,,,,,,,,,,,,,,,345,295,,,,,,,
2024-07-24 00:00:00,,,,,,,,,,,,,,,,304,265,,,,,,,
2024-07-25 00:00:00,,,,,,,,,,,,,,,,246,290,,,,,,,
2024-07-26 00:00:00,,,,,,,,,,,,,,,,345,282,,,,,,,
2024-07-27 00:00:00,,,,,,,,,,,,,,,,168,228,,,,,,,
2024-07-28 00:00:00,,,,,,,,,,,,,,,,145,286,,,,,,,
2024-07-29 00:00:00,,,,,,,,,,,,,,,,179,197,,,,,,,
2024-07-30 00:00:00,,,,,,,,,,,,,,,,152,229,,,,,,,
2024-07-31 00:00:00,,,,,,,,,,,,,,,,247,224,,,,,,,
2024-08-01 00:00:00,,,,,,,,,,,,,,,,137,167,,,,,,,
2024-08-02 00:00:00,,,,,,,,,,,,,,,,187,243,,,,,,,
2024-08-03 00:00:00,,,,,,,,,,,,,,,,275,326,,,,,,,
2024-08-04 00:00:00,,,,,,,,,,,,,,,,188,297,,,,,,,
2024-08-05 00:00:00,,,,,,,,,,,,,,,,190,247,,,,,,,
2024-08-06 00:00:00,,,,,,,,,,,,,,,,229,272,,,,,,,
2024-08-07 00:00:00,,,,,,,,,,,,,,,,263,225,,,,,,,
2024-08-08 00:00:00,,,,,,,,,,,,,,,,263,272,,,,,,,
2024-08-09 00:00:00,,,,,,,,,,,,,,,,699,267,,,,,,,
2024-08-10 00:00:00,,,,,,,,,,,,,,,,715,297,,,,,,,
2024-08-11 00:00:00,,,,,,,,,,,,,,,,471,285,,,,,,,
2024-08-12 00:00:00,,,,,,,,,,,,,,,,466,238,,,,,,,
2024-08-13 00:00:00,,,,,,,,,,,,,,,,440,245,,,,,,,
2024-08-14 00:00:00,,,,,,,,,,,,,,,,393,148,,,,,,,
2024-08-15 00:00:00,,,,,,,,,,,,,,,,406,203,,,,,,,
2024-08-16 00:00:00,166,,,,,,,,,,,,,,510,169,101,,,,,,,
2024-08-17 00:00:00,583,,,,,,,,,,,,,,1660,,,,,,,,,
2024-08-18 00:00:00,406,,,,,,,,,,,,,,1391,,,,,,,,,
2024-08-19 00:00:00,471,,,,,,,,,,,,,,1677,,,,,,,,,
2024-08-20 00:00:00,504,,,,,,,,,,,,,,1550,,,,,,,,,
2024-08-21 00:00:00,483,,,,,,,,,,,,,,1720,,,,,,,,,
2024-08-22 00:00:00,392,,,,,,,,,,,,,,1043,,,,,,,,,
2024-08-23 00:00:00,542,,,,,,,,,,,,,,1579,,,,,,,,,
2024-08-24 00:00:00,483,,,,,,,,,,,,,,1512,,,,,,,,,
2024-08-25 00:00:00,545,,,,,,,,,,,,,,1540,,,,,,,,,
2024-08-26 00:00:00,599,,,,,,,,,,,,,,1808,,,,,,,,,
2024-08-27 00:00:00,541,,,,,,,,,,,,,,1634,,,,,,,,,
2024-08-28 00:00:00,457,,,,,,,,,,,,,,1605,,,,,,,,,
2024-08-29 00:00:00,525,,,,,,,,,,,,,,1479,,,,,,,,,
2024-08-30 00:00:00,493,,,,,,,,,,,,,,1521,,,,,,,,,
2024-08-31 00:00:00,570,,,,,,,,,,,,,,1744,,,,,,,,,
2024-09-01 00:00:00,569,,,,,,,,,,,,,,1575,,,,,,,,,
2024-09-02 00:00:00,465,,,,,,,,,,,,,,1739,,,,,,,,,
2024-09-03 00:00:00,474,,,,,,,,,,,,,,1532,,,,,,,,,
2024-09-04 00:00:00,477,,,,,,,,,,,,,,1618,,,,,,,,,
2024-09-05 00:00:00,508,,,,,,,,,,,,,,1476,,,,,,,,,
2024-09-06 00:00:00,543,,,,,,,,,,,,,,1742,,,,,,,,,
2024-09-07 00:00:00,614,,,,,,,,,,,,,,1586,,,,,,,,,
2024-09-08 00:00:00,463,,,,,,,,,,,,,,1319,,,,,,,,,
2024-09-09 00:00:00,530,,,,,,,,,,,,,,1658,,,,,,,,,
2024-09-10 00:00:00,690,,,,,,,,,,,,,,1746,,,,,,,,,
2024-09-11 00:00:00,462,,,,,,,,,,,,,,1772,,,,,,,,,
2024-09-12 00:00:00,380,,,,,,,,,,,,,,1346,,,,,,,,,
2024-09-13 00:00:00,215,,,,,,,,,,,,,,673,,,,,,,,,
2024-09-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-18 00:00:00,,,,,,,,,,,,,,,,,,,,,2490,,261,
2024-09-19 00:00:00,,,,,,,,,,,,,,,,,,,,,5227,,2781,
2024-09-20 00:00:00,,,,,,,,,,,,,,,,,,,,,4317,,2063,
2024-09-21 00:00:00,,,,,,,,,,,,,,,,,,,,,3802,,1748,
2024-09-22 00:00:00,,,,,,,,,,,,,,,,,,,,,3288,,1825,
2024-09-23 00:00:00,,,,,,,,,,,,,,,,,,,,,3289,,1735,
2024-09-24 00:00:00,,,,,,,,,,,,,,,,,,,,,3771,,1699,
2024-09-25 00:00:00,,,,,,,,,,,,,,,,,,,,,3733,,787,
2024-09-26 00:00:00,,,,,,,,,,,,,,,,,,,,,2724,,1767,
2024-09-27 00:00:00,,,,,,,,,,,,,,,,,,,,,4206,,810,
2024-09-28 00:00:00,,,,,,,,,,,,,,,,,,,,,3886,,859,
2024-09-29 00:00:00,,,,,,,,,,,,,,,,,,,,,3430,,2267,
2024-09-30 00:00:00,,,,,,,,,,,,,,,,,,,,,3124,,1172,
2024-10-01 00:00:00,,,,,,,,,,,,,,,,,,,,,3689,,3243,
2024-10-02 00:00:00,,,,,,,,,,,,,,,,,,,,,3304,,2452,
2024-10-03 00:00:00,,,,,,,,,,,,,,,,,,,,,2961,,3445,
2024-10-04 00:00:00,,,,,,,,,,,,,,,,,,,,,3990,,3907,
2024-10-05 00:00:00,,,,,,,,,,,,,,,,,,,,,3396,,4242,
2024-10-06 00:00:00,,,,,,,,,,,,,,,,,,,,,2806,,3434,
2024-10-07 00:00:00,,,,,,,,,,,,,,,,,,,,,2765,,1713,
2024-10-08 00:00:00,,,,,,,,,,,,,,,,,,,,,2369,,3368,
2024-10-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
