Period,7th March 2024 00:00 -> 21st May 2025 09:45,

Time,53 Perouse Rd,Addiscombe Rd,Auburn Rd & Mary St,Auburn Rd eastern footpath,Belmore Rd,Blaxcell St A,Blaxcell St B,Blaxcell St C,Bourke Street & Lachlan Street,"Civic Park, Pendle Hill",Coles St,Collins Street,Concord Rd East footpath,Concord Rd West footpath,Correys Ave,Doncaster Ave North of Todman Ave,Elizabeth St A,Elizabeth St B,Evaline St North side,Evaline St South side,Houston Rd and Day Ave,Kenneth Rd,Lidcombe town centre,Oliver St & Brighton St (East),Oliver St & Brighton St (West),Oliver Street (east footpath),Oliver Street (west footpath),Parramatta Rd footpath,Perouse Rd footpath,Rainbow street,St Pauls Street footpath,
Thu 27th Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,565,435,,,,,
Fri 28th Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,639,538,,,,,
Sat 29th Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,783,498,,,,,
Sun 30th Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,,,282,261,,,,,
Mon 1st Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,,,509,346,,,,,
Tue 2nd Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,,,384,354,,,,,
Wed 3rd Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,,,412,285,,,,,
Thu 4th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,,,516,443,,,,,
Fri 5th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,,,478,563,,,,,
Sat 6th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,,,388,374,,,,,
Sun 7th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,,,331,369,,,,,
Mon 8th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,,,336,324,,,,,
Tue 9th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,,,338,384,,,,,
Wed 10th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,,,429,321,,,,,
Thu 11th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,,,352,362,,,,,
Fri 12th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,,,360,364,,,,,
Sat 13th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,,,607,449,,,,,
Sun 14th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,,,381,387,,,,,
Mon 15th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,115,113,120,113,,,,,
Tue 16th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,176,193,,,,,,,
